QTR,TypeOfEntry,ProductClass1,ProductClass2,ProductClass3,Amount,QTY
2016Q04,Sales Revenue,Maxi Dog,,,171040,20000
2016Q04,Sales Revenue,Muis Huis,,,513120,5000
2016Q04,Sales Revenue,Water Jug,,,855.2,2e+05
2016Q03,Cost of Sales,Hot Blanket,,,1269.3,12000
2016Q03,Cost of Sales,Kitty Box,,,8462,30000
2016Q03,Cost of Sales,Maxi Dog,,,14808.5,15000
2016Q03,Cost of Sales,Muis Huis,,,12693,4000
2016Q03,Cost of Sales,Water Jug,,,84.62,180000
2016Q03,EXPENSES,Adminstrative,Depreciation,,3.3e+07,
2016Q03,EXPENSES,Adminstrative,Insurance,,7150000,
2016Q03,EXPENSES,Adminstrative,Meals and entertainment,,165000,
2016Q03,EXPENSES,Adminstrative,Outside services,,8250000,
2016Q03,EXPENSES,Adminstrative,Rent,,55000,
2016Q03,EXPENSES,Adminstrative,Repairs and maintence,,4400000,
2016Q03,EXPENSES,Adminstrative,Supplies,,220000,
2016Q03,EXPENSES,Adminstrative,Telephone,,5500000,
2016Q03,EXPENSES,Adminstrative,Utilities,,10450000,
2016Q03,EXPENSES,Adminstrative,Wages and salaries,,16500000,
2016Q03,EXPENSES,Adminstrative,Web site consultancy,,220000,
2016Q03,EXPENSES,Adminstrative,Web site launch and Web Hosting,,110000,
2016Q03,EXPENSES,Adminstrative,Web site maintence,,2200,
2016Q03,EXPENSES,Development,Patents,,33000,
2016Q03,EXPENSES,Development,Technology Rental,,165000,
2016Q03,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,132000,
2016Q03,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,13200000,
2016Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,220000,
2016Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,16500,
2016Q03,Non-Operation Income,Gifts and Dotions,,,11000,
2016Q03,Non-Operation Income,Interest,,,33000,
2016Q03,Non-Operation Income,Other Income,,,385,
2016Q03,Non-Operation Income,Rental,,,440000,
2016Q03,Sales Revenue,Hot Blanket,,,13520,20000
2016Q03,Sales Revenue,Kitty Box,,,50700,30000
2016Q03,Sales Revenue,Maxi Dog,,,67600,20000
2016Q03,Sales Revenue,Muis Huis,,,202800,5000
2016Q03,Sales Revenue,Water Jug,,,338,2e+05
2016Q02,Cost of Sales,Hot Blanket,,,1695.9,12000
2016Q02,Cost of Sales,Kitty Box,,,11306,30000
2016Q02,Cost of Sales,Maxi Dog,,,19785.5,15000
2016Q02,Cost of Sales,Muis Huis,,,16959,4000
2016Q02,Cost of Sales,Water Jug,,,113.06,180000
2016Q02,EXPENSES,Adminstrative,Depreciation,,1.38e+08,
2016Q02,EXPENSES,Adminstrative,Insurance,,29900000,
2016Q02,EXPENSES,Adminstrative,Meals and entertainment,,690000,
2016Q02,EXPENSES,Adminstrative,Outside services,,34500000,
2016Q02,EXPENSES,Adminstrative,Rent,,230000,
2016Q02,EXPENSES,Adminstrative,Repairs and maintence,,18400000,
2016Q02,EXPENSES,Adminstrative,Supplies,,920000,
2016Q02,EXPENSES,Adminstrative,Telephone,,2.3e+07,
2016Q02,EXPENSES,Adminstrative,Utilities,,43700000,
2016Q02,EXPENSES,Adminstrative,Wages and salaries,,6.9e+07,
2016Q02,EXPENSES,Adminstrative,Web site consultancy,,920000,
2016Q02,EXPENSES,Adminstrative,Web site launch and Web Hosting,,460000,
2016Q02,EXPENSES,Adminstrative,Web site maintence,,9200,
2016Q02,EXPENSES,Development,Patents,,138000,
2016Q02,EXPENSES,Development,Technology Rental,,690000,
2016Q02,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,552000,
2016Q02,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,55200000,
2016Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,920000,
2016Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,69000,
2016Q02,Non-Operation Income,Gifts and Dotions,,,46000,
2016Q02,Non-Operation Income,Interest,,,138000,
2016Q02,Non-Operation Income,Other Income,,,1610,
2016Q02,Non-Operation Income,Rental,,,1840000,
2016Q02,Sales Revenue,Hot Blanket,,,18340,20000
2016Q02,Sales Revenue,Kitty Box,,,68775,30000
2016Q02,Sales Revenue,Maxi Dog,,,91700,20000
2016Q02,Sales Revenue,Muis Huis,,,275100,5000
2016Q02,Sales Revenue,Water Jug,,,458.5,2e+05
2016Q01,Cost of Sales,Hot Blanket,,,1811.4,12000
2016Q01,Cost of Sales,Kitty Box,,,12076,30000
2016Q01,Cost of Sales,Maxi Dog,,,21133,15000
2016Q01,Cost of Sales,Muis Huis,,,18114,4000
2016Q01,Cost of Sales,Water Jug,,,120.76,180000
2016Q01,EXPENSES,Adminstrative,Depreciation,,1.08e+08,
2016Q01,EXPENSES,Adminstrative,Insurance,,23400000,
2016Q01,EXPENSES,Adminstrative,Meals and entertainment,,540000,
2016Q01,EXPENSES,Adminstrative,Outside services,,2.7e+07,
2016Q01,EXPENSES,Adminstrative,Rent,,180000,
2016Q01,EXPENSES,Adminstrative,Repairs and maintence,,14400000,
2016Q01,EXPENSES,Adminstrative,Supplies,,720000,
2016Q01,EXPENSES,Adminstrative,Telephone,,1.8e+07,
2016Q01,EXPENSES,Adminstrative,Utilities,,34200000,
2016Q01,EXPENSES,Adminstrative,Wages and salaries,,5.4e+07,
2016Q01,EXPENSES,Adminstrative,Web site consultancy,,720000,
2016Q01,EXPENSES,Adminstrative,Web site launch and Web Hosting,,360000,
2016Q01,EXPENSES,Adminstrative,Web site maintence,,7200,
2016Q01,EXPENSES,Development,Patents,,108000,
2016Q01,EXPENSES,Development,Technology Rental,,540000,
2016Q01,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,432000,
2016Q01,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,43200000,
2016Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,720000,
2016Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,54000,
2016Q01,Non-Operation Income,Gifts and Dotions,,,36000,
2016Q01,Non-Operation Income,Interest,,,108000,
2016Q01,Non-Operation Income,Other Income,,,1260,
2016Q01,Non-Operation Income,Rental,,,1440000,
2016Q01,Sales Revenue,Hot Blanket,,,39708,20000
2016Q01,Sales Revenue,Kitty Box,,,148905,30000
2016Q01,Sales Revenue,Maxi Dog,,,198540,20000
2016Q01,Sales Revenue,Muis Huis,,,595620,5000
2016Q01,Sales Revenue,Water Jug,,,992.7,2e+05
2015Q04,Cost of Sales,Hot Blanket,,,1444.5,12000
2015Q04,Cost of Sales,Kitty Box,,,9630,30000
2015Q04,Cost of Sales,Maxi Dog,,,16852.5,15000
2015Q04,Cost of Sales,Muis Huis,,,14445,4000
2015Q04,Cost of Sales,Water Jug,,,96.3,180000
2015Q04,EXPENSES,Adminstrative,Depreciation,,1.35e+08,
2015Q04,EXPENSES,Adminstrative,Insurance,,29250000,
2015Q04,EXPENSES,Adminstrative,Meals and entertainment,,675000,
2015Q04,EXPENSES,Adminstrative,Outside services,,33750000,
2015Q04,EXPENSES,Adminstrative,Rent,,225000,
2015Q04,EXPENSES,Adminstrative,Repairs and maintence,,1.8e+07,
2015Q04,EXPENSES,Adminstrative,Supplies,,9e+05,
2015Q04,EXPENSES,Adminstrative,Telephone,,22500000,
2015Q04,EXPENSES,Adminstrative,Utilities,,42750000,
2015Q04,EXPENSES,Adminstrative,Wages and salaries,,67500000,
2015Q04,EXPENSES,Adminstrative,Web site consultancy,,9e+05,
2015Q04,EXPENSES,Adminstrative,Web site launch and Web Hosting,,450000,
2015Q04,EXPENSES,Adminstrative,Web site maintence,,9000,
2015Q04,EXPENSES,Development,Patents,,135000,
2015Q04,EXPENSES,Development,Technology Rental,,675000,
2015Q04,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,540000,
2015Q04,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,5.4e+07,
2015Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,9e+05,
2015Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,67500,
2015Q04,Non-Operation Income,Gifts and Dotions,,,45000,
2015Q04,Non-Operation Income,Interest,,,135000,
2015Q04,Non-Operation Income,Other Income,,,1575,
2015Q04,Non-Operation Income,Rental,,,1800000,
2015Q04,Sales Revenue,Hot Blanket,,,5580,20000
2015Q04,Sales Revenue,Kitty Box,,,20925,30000
2015Q04,Sales Revenue,Maxi Dog,,,27900,20000
2015Q04,Sales Revenue,Muis Huis,,,83700,5000
2015Q04,Sales Revenue,Water Jug,,,139.5,2e+05
2015Q03,Cost of Sales,Hot Blanket,,,68.4,12000
2015Q03,Cost of Sales,Kitty Box,,,456,30000
2015Q03,Cost of Sales,Maxi Dog,,,798,15000
2015Q03,Cost of Sales,Muis Huis,,,684,4000
2015Q03,Cost of Sales,Water Jug,,,4.56,180000
2015Q03,EXPENSES,Adminstrative,Depreciation,,1.2e+08,
2015Q03,EXPENSES,Adminstrative,Insurance,,2.6e+07,
2015Q03,EXPENSES,Adminstrative,Meals and entertainment,,6e+05,
2015Q03,EXPENSES,Adminstrative,Outside services,,3e+07,
2015Q03,EXPENSES,Adminstrative,Rent,,2e+05,
2015Q03,EXPENSES,Adminstrative,Repairs and maintence,,1.6e+07,
2015Q03,EXPENSES,Adminstrative,Supplies,,8e+05,
2015Q03,EXPENSES,Adminstrative,Telephone,,2e+07,
2015Q03,EXPENSES,Adminstrative,Utilities,,3.8e+07,
2015Q03,EXPENSES,Adminstrative,Wages and salaries,,6e+07,
2015Q03,EXPENSES,Adminstrative,Web site consultancy,,8e+05,
2015Q03,EXPENSES,Adminstrative,Web site launch and Web Hosting,,4e+05,
2015Q03,EXPENSES,Adminstrative,Web site maintence,,8000,
2015Q03,EXPENSES,Development,Patents,,120000,
2015Q03,EXPENSES,Development,Technology Rental,,6e+05,
2015Q03,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,480000,
2015Q03,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,4.8e+07,
2015Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,8e+05,
2015Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,60000,
2015Q03,Non-Operation Income,Gifts and Dotions,,,40000,
2015Q03,Non-Operation Income,Interest,,,120000,
2015Q03,Non-Operation Income,Other Income,,,1400,
2015Q03,Non-Operation Income,Rental,,,1600000,
2015Q03,Sales Revenue,Hot Blanket,,,6412,20000
2015Q03,Sales Revenue,Kitty Box,,,24045,30000
2015Q03,Sales Revenue,Maxi Dog,,,32060,20000
2015Q03,Sales Revenue,Muis Huis,,,96180,5000
2015Q03,Sales Revenue,Water Jug,,,160.3,2e+05
2015Q02,Cost of Sales,Hot Blanket,,,2337.3,12000
2015Q02,Cost of Sales,Kitty Box,,,15582,30000
2015Q02,Cost of Sales,Maxi Dog,,,27268.5,15000
2015Q02,Cost of Sales,Muis Huis,,,23373,4000
2015Q02,Cost of Sales,Water Jug,,,155.82,180000
2015Q02,EXPENSES,Adminstrative,Depreciation,,3.3e+07,
2015Q02,EXPENSES,Adminstrative,Insurance,,7150000,
2015Q02,EXPENSES,Adminstrative,Meals and entertainment,,165000,
2015Q02,EXPENSES,Adminstrative,Outside services,,8250000,
2015Q02,EXPENSES,Adminstrative,Rent,,55000,
2015Q02,EXPENSES,Adminstrative,Repairs and maintence,,4400000,
2015Q02,EXPENSES,Adminstrative,Supplies,,220000,
2015Q02,EXPENSES,Adminstrative,Telephone,,5500000,
2015Q02,EXPENSES,Adminstrative,Utilities,,10450000,
2015Q02,EXPENSES,Adminstrative,Wages and salaries,,16500000,
2015Q02,EXPENSES,Adminstrative,Web site consultancy,,220000,
2015Q02,EXPENSES,Adminstrative,Web site launch and Web Hosting,,110000,
2015Q02,EXPENSES,Adminstrative,Web site maintence,,2200,
2015Q02,EXPENSES,Development,Patents,,33000,
2015Q02,EXPENSES,Development,Technology Rental,,165000,
2015Q02,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,132000,
2015Q02,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,13200000,
2015Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,220000,
2015Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,16500,
2015Q02,Non-Operation Income,Gifts and Dotions,,,11000,
2015Q02,Non-Operation Income,Interest,,,33000,
2015Q02,Non-Operation Income,Other Income,,,385,
2015Q02,Non-Operation Income,Rental,,,440000,
2015Q02,Sales Revenue,Hot Blanket,,,12744,20000
2015Q02,Sales Revenue,Kitty Box,,,47790,30000
2015Q02,Sales Revenue,Maxi Dog,,,63720,20000
2015Q02,Sales Revenue,Muis Huis,,,191160,5000
2015Q02,Sales Revenue,Water Jug,,,318.6,2e+05
2015Q01,Cost of Sales,Hot Blanket,,,538.5,12000
2015Q01,Cost of Sales,Kitty Box,,,3590,30000
2015Q01,Cost of Sales,Maxi Dog,,,6282.5,15000
2015Q01,Cost of Sales,Muis Huis,,,5385,4000
2015Q01,Cost of Sales,Water Jug,,,35.9,180000
2015Q01,EXPENSES,Adminstrative,Depreciation,,6e+06,
2015Q01,EXPENSES,Adminstrative,Insurance,,1300000,
2015Q01,EXPENSES,Adminstrative,Meals and entertainment,,30000,
2015Q01,EXPENSES,Adminstrative,Outside services,,1500000,
2015Q01,EXPENSES,Adminstrative,Rent,,10000,
2015Q01,EXPENSES,Adminstrative,Repairs and maintence,,8e+05,
2015Q01,EXPENSES,Adminstrative,Supplies,,40000,
2015Q01,EXPENSES,Adminstrative,Telephone,,1e+06,
2015Q01,EXPENSES,Adminstrative,Utilities,,1900000,
2015Q01,EXPENSES,Adminstrative,Wages and salaries,,3e+06,
2015Q01,EXPENSES,Adminstrative,Web site consultancy,,40000,
2015Q01,EXPENSES,Adminstrative,Web site launch and Web Hosting,,20000,
2015Q01,EXPENSES,Adminstrative,Web site maintence,,400,
2015Q01,EXPENSES,Development,Patents,,6000,
2015Q01,EXPENSES,Development,Technology Rental,,30000,
2015Q01,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,24000,
2015Q01,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,2400000,
2015Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,40000,
2015Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,3000,
2015Q01,Non-Operation Income,Gifts and Dotions,,,2000,
2015Q01,Non-Operation Income,Interest,,,6000,
2015Q01,Non-Operation Income,Other Income,,,70,
2015Q01,Non-Operation Income,Rental,,,80000,
2015Q01,Sales Revenue,Hot Blanket,,,31600,20000
2015Q01,Sales Revenue,Kitty Box,,,118500,30000
2015Q01,Sales Revenue,Maxi Dog,,,158000,20000
2015Q01,Sales Revenue,Muis Huis,,,474000,5000
2015Q01,Sales Revenue,Water Jug,,,790,2e+05
2014Q04,Cost of Sales,Hot Blanket,,,2716.8,12000
2014Q04,Cost of Sales,Kitty Box,,,18112,30000
2014Q04,Cost of Sales,Maxi Dog,,,31696,15000
2014Q04,Cost of Sales,Muis Huis,,,27168,4000
2014Q04,Cost of Sales,Water Jug,,,181.12,180000
2014Q04,EXPENSES,Adminstrative,Depreciation,,9.6e+07,
2014Q04,EXPENSES,Adminstrative,Insurance,,20800000,
2014Q04,EXPENSES,Adminstrative,Meals and entertainment,,480000,
2014Q04,EXPENSES,Adminstrative,Outside services,,2.4e+07,
2014Q04,EXPENSES,Adminstrative,Rent,,160000,
2014Q04,EXPENSES,Adminstrative,Repairs and maintence,,12800000,
2014Q04,EXPENSES,Adminstrative,Supplies,,640000,
2014Q04,EXPENSES,Adminstrative,Telephone,,1.6e+07,
2014Q04,EXPENSES,Adminstrative,Utilities,,30400000,
2014Q04,EXPENSES,Adminstrative,Wages and salaries,,4.8e+07,
2014Q04,EXPENSES,Adminstrative,Web site consultancy,,640000,
2014Q04,EXPENSES,Adminstrative,Web site launch and Web Hosting,,320000,
2014Q04,EXPENSES,Adminstrative,Web site maintence,,6400,
2014Q04,EXPENSES,Development,Patents,,96000,
2014Q04,EXPENSES,Development,Technology Rental,,480000,
2014Q04,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,384000,
2014Q04,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,38400000,
2014Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,640000,
2014Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,48000,
2014Q04,Non-Operation Income,Gifts and Dotions,,,32000,
2014Q04,Non-Operation Income,Interest,,,96000,
2014Q04,Non-Operation Income,Other Income,,,1120,
2014Q04,Non-Operation Income,Rental,,,1280000,
2014Q04,Sales Revenue,Hot Blanket,,,36056,20000
2014Q04,Sales Revenue,Kitty Box,,,135210,30000
2014Q04,Sales Revenue,Maxi Dog,,,180280,20000
2014Q04,Sales Revenue,Muis Huis,,,540840,5000
2014Q04,Sales Revenue,Water Jug,,,901.4,2e+05
2014Q03,Cost of Sales,Hot Blanket,,,2630.4,12000
2014Q03,Cost of Sales,Kitty Box,,,17536,30000
2014Q03,Cost of Sales,Maxi Dog,,,30688,15000
2014Q03,Cost of Sales,Muis Huis,,,26304,4000
2014Q03,Cost of Sales,Water Jug,,,175.36,180000
2014Q03,EXPENSES,Adminstrative,Depreciation,,6.9e+07,
2014Q03,EXPENSES,Adminstrative,Insurance,,14950000,
2014Q03,EXPENSES,Adminstrative,Meals and entertainment,,345000,
2014Q03,EXPENSES,Adminstrative,Outside services,,17250000,
2014Q03,EXPENSES,Adminstrative,Rent,,115000,
2014Q03,EXPENSES,Adminstrative,Repairs and maintence,,9200000,
2014Q03,EXPENSES,Adminstrative,Supplies,,460000,
2014Q03,EXPENSES,Adminstrative,Telephone,,11500000,
2014Q03,EXPENSES,Adminstrative,Utilities,,21850000,
2014Q03,EXPENSES,Adminstrative,Wages and salaries,,34500000,
2014Q03,EXPENSES,Adminstrative,Web site consultancy,,460000,
2014Q03,EXPENSES,Adminstrative,Web site launch and Web Hosting,,230000,
2014Q03,EXPENSES,Adminstrative,Web site maintence,,4600,
2014Q03,EXPENSES,Development,Patents,,69000,
2014Q03,EXPENSES,Development,Technology Rental,,345000,
2014Q03,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,276000,
2014Q03,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,27600000,
2014Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,460000,
2014Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,34500,
2014Q03,Non-Operation Income,Gifts and Dotions,,,23000,
2014Q03,Non-Operation Income,Interest,,,69000,
2014Q03,Non-Operation Income,Other Income,,,805,
2014Q03,Non-Operation Income,Rental,,,920000,
2014Q03,Sales Revenue,Hot Blanket,,,35208,20000
2014Q03,Sales Revenue,Kitty Box,,,132030,30000
2014Q03,Sales Revenue,Maxi Dog,,,176040,20000
2014Q03,Sales Revenue,Muis Huis,,,528120,5000
2014Q03,Sales Revenue,Water Jug,,,880.2,2e+05
2014Q02,Cost of Sales,Hot Blanket,,,882.9,12000
2014Q02,Cost of Sales,Kitty Box,,,5886,30000
2014Q02,Cost of Sales,Maxi Dog,,,10300.5,15000
2014Q02,Cost of Sales,Muis Huis,,,8829,4000
2014Q02,Cost of Sales,Water Jug,,,58.86,180000
2014Q02,EXPENSES,Adminstrative,Depreciation,,5.4e+07,
2014Q02,EXPENSES,Adminstrative,Insurance,,11700000,
2014Q02,EXPENSES,Adminstrative,Meals and entertainment,,270000,
2014Q02,EXPENSES,Adminstrative,Outside services,,13500000,
2014Q02,EXPENSES,Adminstrative,Rent,,90000,
2014Q02,EXPENSES,Adminstrative,Repairs and maintence,,7200000,
2014Q02,EXPENSES,Adminstrative,Supplies,,360000,
2014Q02,EXPENSES,Adminstrative,Telephone,,9e+06,
2014Q02,EXPENSES,Adminstrative,Utilities,,17100000,
2014Q02,EXPENSES,Adminstrative,Wages and salaries,,2.7e+07,
2014Q02,EXPENSES,Adminstrative,Web site consultancy,,360000,
2014Q02,EXPENSES,Adminstrative,Web site launch and Web Hosting,,180000,
2014Q02,EXPENSES,Adminstrative,Web site maintence,,3600,
2014Q02,EXPENSES,Development,Patents,,54000,
2014Q02,EXPENSES,Development,Technology Rental,,270000,
2014Q02,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,216000,
2014Q02,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,21600000,
2014Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,360000,
2014Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,27000,
2014Q02,Non-Operation Income,Gifts and Dotions,,,18000,
2014Q02,Non-Operation Income,Interest,,,54000,
2014Q02,Non-Operation Income,Other Income,,,630,
2014Q02,Non-Operation Income,Rental,,,720000,
2014Q02,Sales Revenue,Hot Blanket,,,31862,20000
2014Q02,Sales Revenue,Kitty Box,,,119482.5,30000
2014Q02,Sales Revenue,Maxi Dog,,,159310,20000
2014Q02,Sales Revenue,Muis Huis,,,477930,5000
2014Q02,Sales Revenue,Water Jug,,,796.55,2e+05
2014Q01,Cost of Sales,Hot Blanket,,,2793.9,12000
2014Q01,Cost of Sales,Kitty Box,,,18626,30000
2014Q01,Cost of Sales,Maxi Dog,,,32595.5,15000
2014Q01,Cost of Sales,Muis Huis,,,27939,4000
2014Q01,Cost of Sales,Water Jug,,,186.26,180000
2014Q01,EXPENSES,Adminstrative,Depreciation,,3.6e+07,
