QTR,TypeOfEntry,ProductClass1,ProductClass2,ProductClass3, Amount , QTY 
2012Q01,Sales Revenue,Muis Huis,,," £581,340.00 "," £5,000.00 "
2011Q04,Sales Revenue,Muis Huis,,," £355,920.00 "," £5,000.00 "
2011Q03,Sales Revenue,Muis Huis,,," £289,920.00 "," £5,000.00 "
2011Q02,Sales Revenue,Muis Huis,,," £99,060.00 "," £5,000.00 "
2011Q01,Sales Revenue,Muis Huis,,," £50,340.00 "," £5,000.00 "
2010Q04,Sales Revenue,Muis Huis,,," £564,090.00 "," £5,000.00 "
2010Q03,Sales Revenue,Muis Huis,,," £531,750.00 "," £5,000.00 "
2010Q02,Sales Revenue,Muis Huis,,," £426,270.00 "," £5,000.00 "
2010Q01,Sales Revenue,Muis Huis,,," £265,680.00 "," £5,000.00 "
2009Q04,Sales Revenue,Muis Huis,,," £22,560.00 "," £5,000.00 "
2009Q03,Sales Revenue,Muis Huis,,," £560,460.00 "," £5,000.00 "
2009Q02,Sales Revenue,Muis Huis,,," £492,240.00 "," £5,000.00 "
2009Q01,Sales Revenue,Muis Huis,,," £282,960.00 "," £5,000.00 "
2008Q04,Sales Revenue,Muis Huis,,," £561,300.00 "," £5,000.00 "
2008Q03,Sales Revenue,Muis Huis,,," £520,920.00 "," £5,000.00 "
2008Q02,Sales Revenue,Muis Huis,,," £118,170.00 "," £5,000.00 "
2008Q01,Sales Revenue,Muis Huis,,," £576,660.00 "," £5,000.00 "
2007Q04,Sales Revenue,Muis Huis,,," £587,370.00 "," £5,000.00 "
2007Q03,Sales Revenue,Muis Huis,,," £17,070.00 "," £5,000.00 "
2007Q02,Sales Revenue,Muis Huis,,," £451,680.00 "," £5,000.00 "
2007Q01,Sales Revenue,Muis Huis,,," £189,330.00 "," £5,000.00 "
2006Q04,Sales Revenue,Muis Huis,,," £596,760.00 "," £5,000.00 "
2006Q03,Sales Revenue,Muis Huis,,," £554,160.00 "," £5,000.00 "
2006Q02,Sales Revenue,Muis Huis,,," £14,250.00 "," £5,000.00 "
2006Q01,Sales Revenue,Muis Huis,,," £336,360.00 "," £5,000.00 "
2005Q04,Sales Revenue,Muis Huis,,," £492,060.00 "," £5,000.00 "
2005Q03,Sales Revenue,Muis Huis,,," £58,680.00 "," £5,000.00 "
2005Q02,Sales Revenue,Muis Huis,,," £14,640.00 "," £5,000.00 "
2005Q01,Sales Revenue,Muis Huis,,," £324,150.00 "," £5,000.00 "
2004Q04,Sales Revenue,Muis Huis,,," £366,990.00 "," £5,000.00 "
2004Q03,Sales Revenue,Muis Huis,,," £545,820.00 "," £5,000.00 "
2004Q02,Sales Revenue,Muis Huis,,," £562,590.00 "," £5,000.00 "
2004Q01,Sales Revenue,Muis Huis,,," £549,450.00 "," £5,000.00 "
2003Q04,Sales Revenue,Muis Huis,,," £584,280.00 "," £5,000.00 "
2003Q03,Sales Revenue,Muis Huis,,," £534,360.00 "," £5,000.00 "
2003Q02,Sales Revenue,Muis Huis,,," £598,860.00 "," £5,000.00 "
2003Q01,Sales Revenue,Muis Huis,,," £577,680.00 "," £5,000.00 "
2002Q04,Sales Revenue,Muis Huis,,," £147,990.00 "," £5,000.00 "
2002Q03,Sales Revenue,Muis Huis,,," £411,090.00 "," £5,000.00 "
2002Q02,Sales Revenue,Muis Huis,,," £267,600.00 "," £5,000.00 "
2002Q01,Sales Revenue,Muis Huis,,," £38,460.00 "," £5,000.00 "
2001Q04,Sales Revenue,Muis Huis,,," £5,250.00 "," £5,000.00 "
2001Q03,Sales Revenue,Muis Huis,,," £483,870.00 "," £5,000.00 "
2001Q02,Sales Revenue,Muis Huis,,," £513,330.00 "," £5,000.00 "
2001Q01,Sales Revenue,Muis Huis,,," £39,780.00 "," £5,000.00 "
2000Q04,Sales Revenue,Muis Huis,,," £257,910.00 "," £5,000.00 "
2000Q03,Sales Revenue,Muis Huis,,," £254,640.00 "," £5,000.00 "
2000Q02,Sales Revenue,Muis Huis,,," £100,680.00 "," £5,000.00 "
2000Q01,Sales Revenue,Muis Huis,,," £348,360.00 "," £5,000.00 "
1999Q04,Sales Revenue,Muis Huis,,," £443,070.00 "," £5,000.00 "
1999Q03,Sales Revenue,Muis Huis,,," £162,570.00 "," £5,000.00 "
1999Q02,Sales Revenue,Muis Huis,,," £168,810.00 "," £5,000.00 "
1999Q01,Sales Revenue,Muis Huis,,," £245,910.00 "," £5,000.00 "
2017Q02,Sales Revenue,Hot Blanket,,," £20,384.00 "," £20,000.00 "
2017Q01,Sales Revenue,Hot Blanket,,, £698.00 ," £20,000.00 "
2016Q04,Sales Revenue,Hot Blanket,,," £34,208.00 "," £20,000.00 "
2016Q03,Sales Revenue,Hot Blanket,,," £13,520.00 "," £20,000.00 "
2016Q02,Sales Revenue,Hot Blanket,,," £18,340.00 "," £20,000.00 "
2016Q01,Sales Revenue,Hot Blanket,,," £39,708.00 "," £20,000.00 "
2015Q04,Sales Revenue,Hot Blanket,,," £5,580.00 "," £20,000.00 "
2015Q03,Sales Revenue,Hot Blanket,,," £6,412.00 "," £20,000.00 "
2015Q02,Sales Revenue,Hot Blanket,,," £12,744.00 "," £20,000.00 "
2015Q01,Sales Revenue,Hot Blanket,,," £31,600.00 "," £20,000.00 "
2014Q04,Sales Revenue,Hot Blanket,,," £36,056.00 "," £20,000.00 "
2014Q03,Sales Revenue,Hot Blanket,,," £35,208.00 "," £20,000.00 "
2014Q02,Sales Revenue,Hot Blanket,,," £31,862.00 "," £20,000.00 "
2014Q01,Sales Revenue,Hot Blanket,,," £10,182.00 "," £20,000.00 "
2013Q04,Sales Revenue,Hot Blanket,,," £28,000.00 "," £20,000.00 "
2013Q03,Sales Revenue,Hot Blanket,,," £13,004.00 "," £20,000.00 "
2013Q02,Sales Revenue,Hot Blanket,,," £25,716.00 "," £20,000.00 "
2013Q01,Sales Revenue,Hot Blanket,,," £22,728.00 "," £20,000.00 "
2012Q04,Sales Revenue,Hot Blanket,,," £20,202.00 "," £20,000.00 "
2012Q03,Sales Revenue,Hot Blanket,,," £16,266.00 "," £20,000.00 "
2012Q02,Sales Revenue,Hot Blanket,,," £5,716.00 "," £20,000.00 "
2012Q01,Sales Revenue,Hot Blanket,,," £38,756.00 "," £20,000.00 "
2011Q04,Sales Revenue,Hot Blanket,,," £23,728.00 "," £20,000.00 "
2011Q03,Sales Revenue,Hot Blanket,,," £19,328.00 "," £20,000.00 "
2011Q02,Sales Revenue,Hot Blanket,,," £6,604.00 "," £20,000.00 "
2011Q01,Sales Revenue,Hot Blanket,,," £3,356.00 "," £20,000.00 "
2010Q04,Sales Revenue,Hot Blanket,,," £37,606.00 "," £20,000.00 "
2010Q03,Sales Revenue,Hot Blanket,,," £35,450.00 "," £20,000.00 "
2010Q02,Sales Revenue,Hot Blanket,,," £28,418.00 "," £20,000.00 "
2010Q01,Sales Revenue,Hot Blanket,,," £17,712.00 "," £20,000.00 "
2009Q04,Sales Revenue,Hot Blanket,,," £1,504.00 "," £20,000.00 "
2009Q03,Sales Revenue,Hot Blanket,,," £37,364.00 "," £20,000.00 "
2009Q02,Sales Revenue,Hot Blanket,,," £32,816.00 "," £20,000.00 "
2009Q01,Sales Revenue,Hot Blanket,,," £18,864.00 "," £20,000.00 "
2008Q04,Sales Revenue,Hot Blanket,,," £37,420.00 "," £20,000.00 "
2008Q03,Sales Revenue,Hot Blanket,,," £34,728.00 "," £20,000.00 "
2008Q02,Sales Revenue,Hot Blanket,,," £7,878.00 "," £20,000.00 "
2008Q01,Sales Revenue,Hot Blanket,,," £38,444.00 "," £20,000.00 "
2007Q04,Sales Revenue,Hot Blanket,,," £39,158.00 "," £20,000.00 "
2007Q03,Sales Revenue,Hot Blanket,,," £1,138.00 "," £20,000.00 "
2007Q02,Sales Revenue,Hot Blanket,,," £30,112.00 "," £20,000.00 "
2007Q01,Sales Revenue,Hot Blanket,,," £12,622.00 "," £20,000.00 "
2006Q04,Sales Revenue,Hot Blanket,,," £39,784.00 "," £20,000.00 "
2006Q03,Sales Revenue,Hot Blanket,,," £36,944.00 "," £20,000.00 "
2006Q02,Sales Revenue,Hot Blanket,,, £950.00 ," £20,000.00 "
2006Q01,Sales Revenue,Hot Blanket,,," £22,424.00 "," £20,000.00 "
2005Q04,Sales Revenue,Hot Blanket,,," £32,804.00 "," £20,000.00 "
2005Q03,Sales Revenue,Hot Blanket,,," £3,912.00 "," £20,000.00 "
2005Q02,Sales Revenue,Hot Blanket,,, £976.00 ," £20,000.00 "
2005Q01,Sales Revenue,Hot Blanket,,," £21,610.00 "," £20,000.00 "
2004Q04,Sales Revenue,Hot Blanket,,," £24,466.00 "," £20,000.00 "
2004Q03,Sales Revenue,Hot Blanket,,," £36,388.00 "," £20,000.00 "
2004Q02,Sales Revenue,Hot Blanket,,," £37,506.00 "," £20,000.00 "
2004Q01,Sales Revenue,Hot Blanket,,," £36,630.00 "," £20,000.00 "
2003Q04,Sales Revenue,Hot Blanket,,," £38,952.00 "," £20,000.00 "
2003Q03,Sales Revenue,Hot Blanket,,," £35,624.00 "," £20,000.00 "
2003Q02,Sales Revenue,Hot Blanket,,," £39,924.00 "," £20,000.00 "
2003Q01,Sales Revenue,Hot Blanket,,," £38,512.00 "," £20,000.00 "
2002Q04,Sales Revenue,Hot Blanket,,," £9,866.00 "," £20,000.00 "
2002Q03,Sales Revenue,Hot Blanket,,," £27,406.00 "," £20,000.00 "
2002Q02,Sales Revenue,Hot Blanket,,," £17,840.00 "," £20,000.00 "
2002Q01,Sales Revenue,Hot Blanket,,," £2,564.00 "," £20,000.00 "
2001Q04,Sales Revenue,Hot Blanket,,, £350.00 ," £20,000.00 "
2001Q03,Sales Revenue,Hot Blanket,,," £32,258.00 "," £20,000.00 "
2001Q02,Sales Revenue,Hot Blanket,,," £34,222.00 "," £20,000.00 "
2001Q01,Sales Revenue,Hot Blanket,,," £2,652.00 "," £20,000.00 "
2000Q04,Sales Revenue,Hot Blanket,,," £17,194.00 "," £20,000.00 "
2000Q03,Sales Revenue,Hot Blanket,,," £16,976.00 "," £20,000.00 "
2000Q02,Sales Revenue,Hot Blanket,,," £6,712.00 "," £20,000.00 "
2000Q01,Sales Revenue,Hot Blanket,,," £23,224.00 "," £20,000.00 "
1999Q04,Sales Revenue,Hot Blanket,,," £29,538.00 "," £20,000.00 "
1999Q03,Sales Revenue,Hot Blanket,,," £10,838.00 "," £20,000.00 "
1999Q02,Sales Revenue,Hot Blanket,,," £11,254.00 "," £20,000.00 "
1999Q01,Sales Revenue,Hot Blanket,,," £16,394.00 "," £20,000.00 "
2017Q02,Sales Revenue,Water Jug,,, £509.60 ," £200,000.00 "
2017Q01,Sales Revenue,Water Jug,,, £17.45 ," £200,000.00 "
2016Q04,Sales Revenue,Water Jug,,, £855.20 ," £200,000.00 "
2016Q03,Sales Revenue,Water Jug,,, £338.00 ," £200,000.00 "
2016Q02,Sales Revenue,Water Jug,,, £458.50 ," £200,000.00 "
2016Q01,Sales Revenue,Water Jug,,, £992.70 ," £200,000.00 "
2015Q04,Sales Revenue,Water Jug,,, £139.50 ," £200,000.00 "
2015Q03,Sales Revenue,Water Jug,,, £160.30 ," £200,000.00 "
2015Q02,Sales Revenue,Water Jug,,, £318.60 ," £200,000.00 "
2015Q01,Sales Revenue,Water Jug,,, £790.00 ," £200,000.00 "
2014Q04,Sales Revenue,Water Jug,,, £901.40 ," £200,000.00 "
2014Q03,Sales Revenue,Water Jug,,, £880.20 ," £200,000.00 "
2014Q02,Sales Revenue,Water Jug,,, £796.55 ," £200,000.00 "
2014Q01,Sales Revenue,Water Jug,,, £254.55 ," £200,000.00 "
2013Q04,Sales Revenue,Water Jug,,, £700.00 ," £200,000.00 "
2013Q03,Sales Revenue,Water Jug,,, £325.10 ," £200,000.00 "
2013Q02,Sales Revenue,Water Jug,,, £642.90 ," £200,000.00 "
2013Q01,Sales Revenue,Water Jug,,, £568.20 ," £200,000.00 "
2012Q04,Sales Revenue,Water Jug,,, £505.05 ," £200,000.00 "
2012Q03,Sales Revenue,Water Jug,,, £406.65 ," £200,000.00 "
2012Q02,Sales Revenue,Water Jug,,, £142.90 ," £200,000.00 "
2012Q01,Sales Revenue,Water Jug,,, £968.90 ," £200,000.00 "
2011Q04,Sales Revenue,Water Jug,,, £593.20 ," £200,000.00 "
2011Q03,Sales Revenue,Water Jug,,, £483.20 ," £200,000.00 "
2011Q02,Sales Revenue,Water Jug,,, £165.10 ," £200,000.00 "
2011Q01,Sales Revenue,Water Jug,,, £83.90 ," £200,000.00 "
2010Q04,Sales Revenue,Water Jug,,, £940.15 ," £200,000.00 "
2010Q03,Sales Revenue,Water Jug,,, £886.25 ," £200,000.00 "
2010Q02,Sales Revenue,Water Jug,,, £710.45 ," £200,000.00 "
2010Q01,Sales Revenue,Water Jug,,, £442.80 ," £200,000.00 "
2009Q04,Sales Revenue,Water Jug,,, £37.60 ," £200,000.00 "
2009Q03,Sales Revenue,Water Jug,,, £934.10 ," £200,000.00 "
2009Q02,Sales Revenue,Water Jug,,, £820.40 ," £200,000.00 "
2009Q01,Sales Revenue,Water Jug,,, £471.60 ," £200,000.00 "
2008Q04,Sales Revenue,Water Jug,,, £935.50 ," £200,000.00 "
2008Q03,Sales Revenue,Water Jug,,, £868.20 ," £200,000.00 "
2008Q02,Sales Revenue,Water Jug,,, £196.95 ," £200,000.00 "
2008Q01,Sales Revenue,Water Jug,,, £961.10 ," £200,000.00 "
2007Q04,Sales Revenue,Water Jug,,, £978.95 ," £200,000.00 "
2007Q03,Sales Revenue,Water Jug,,, £28.45 ," £200,000.00 "
2007Q02,Sales Revenue,Water Jug,,, £752.80 ," £200,000.00 "
2007Q01,Sales Revenue,Water Jug,,, £315.55 ," £200,000.00 "
2006Q04,Sales Revenue,Water Jug,,, £994.60 ," £200,000.00 "
